UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
1	1
0	1
0	0
1	0
2	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	2
0	2
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	0
0	0
0	3
17	38
0	1
0	35
0	30
0	29
0	0
5	1642
0	0
0	0
0	0
0	0
0	2
0	2
0	2
47	5
0	0
0	98
0	98
0	18
0	65
2	20
0	0
0	0
0	80
0	82
0	18
0	6
0	13
0	0
5	37
0	33
15	1096
0	39
0	1016
0	1483
0	38
0	303
0	1207
0	1017
0	1484
0	1016
0	1484
0	0
0	932
0	1162
1	62
13	132
0	130
0	130
0	0
0	0
4	0
1	10
4	11
1	0
0	3
0	0
5	3
0	3
0	0
0	0
0	120
28	1
8	120
0	120
8	72
0	120
0	0
0	0
22	20
24	0
7	24
0	24
0	14
16	14
26	0
1	5
0	5
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
2	0
5	0
0	0
0	0
0	0
0	0
4	0
3	0
13	11
0	10
0	10
0	8
1	141
44	143
1597	12
4	23
100	25
21888	225
0	285
16	262
0	274
128	27949
3470	27968
0	10
0	10
196	2
0	0
3	364
59	364
1	0
21	0
0	2
43	0
30050	4675
0	0
0	0
0	157
1	0
0	81
0	1474
0	1878
0	0
757	43
0	604
453	12
0	4018
14	0
10	0
100	5
1	0
424	26
22	7
0	0
51	5
0	815
0	1298
0	0
0	0
0	265
2	9
138	2
11	72
16	8
0	0
201	170
98	6
0	565
0	14
9	14
4	19
2	1
2	8
0	8
4	5
0	5
0	0
220	11
0	10
0	10
3	12
0	12
728	9
7	3
250	28
0	2
0	2
67	8
21	0
0	69
38	69
0	61
51	61
10	41
0	33
0	402
65	147
131	1
0	0
0	0
0	0
0	0
1	0
0	0
1	18
0	0
0	626
0	0
0	0
242	3
187	1298
0	0
2	0
0	0
0	689
0	0
