Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
trim_JJ1715_135_S16_R1_001	1.10.0	none	vb	[]	1	['ISR']	1001	135.0848062456604	62.31196436903839	False	True	4096	mapping	False	86774	0	136030	False	['range_factorized', 'gzipped']	[553, 826, 1654, 3040, 100228]	8265e19233c976854a2856310b12551f166fa5b44ab1f0d83a36230b7aaa7b75	56cae2b13a92308710cfc67b8db335604415a05589fa87c0efc6a2d267e0c324	fcc6dfb6bc12ab97bc313035978f58983cef3af6cafa51b44825da1f950808a55ba28c92264d85668527279c59ab7f918eb3b87b12231cb85006371a73308b83	1fd7433b70d62d34426b325f47bf64c9d107fc6310408a804f158e82e7a113c17052b70be374d2815fe0d36f049c26c60b4a5ce78e8caede2282d8032fa330c8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	31381249	16502875	0	420604	2250757	71355801	52.588330693912155	quant	Tue Feb 06 14:13:51 2024	Tue Feb 06 14:17:57 2024
trim_JJ1715_138_S48_R1_001	1.10.0	none	vb	[]	1	['ISR']	1001	199.62843678748968	94.20712432957582	False	True	4096	mapping	False	86774	0	219933	False	['range_factorized', 'gzipped']	[553, 826, 1654, 3040, 100228]	8265e19233c976854a2856310b12551f166fa5b44ab1f0d83a36230b7aaa7b75	56cae2b13a92308710cfc67b8db335604415a05589fa87c0efc6a2d267e0c324	fcc6dfb6bc12ab97bc313035978f58983cef3af6cafa51b44825da1f950808a55ba28c92264d85668527279c59ab7f918eb3b87b12231cb85006371a73308b83	1fd7433b70d62d34426b325f47bf64c9d107fc6310408a804f158e82e7a113c17052b70be374d2815fe0d36f049c26c60b4a5ce78e8caede2282d8032fa330c8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	27179026	20140279	0	151198	1596379	29420897	74.10228387139406	quant	Tue Feb 06 14:13:50 2024	Tue Feb 06 14:17:01 2024
trim_JJ1715_142_S30_R1_001	1.10.0	none	vb	[]	1	['ISR']	1001	148.34403699082307	71.00273133193635	False	True	4096	mapping	False	86774	0	187633	False	['range_factorized', 'gzipped']	[553, 826, 1654, 3040, 100228]	8265e19233c976854a2856310b12551f166fa5b44ab1f0d83a36230b7aaa7b75	56cae2b13a92308710cfc67b8db335604415a05589fa87c0efc6a2d267e0c324	fcc6dfb6bc12ab97bc313035978f58983cef3af6cafa51b44825da1f950808a55ba28c92264d85668527279c59ab7f918eb3b87b12231cb85006371a73308b83	1fd7433b70d62d34426b325f47bf64c9d107fc6310408a804f158e82e7a113c17052b70be374d2815fe0d36f049c26c60b4a5ce78e8caede2282d8032fa330c8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	43136423	28255787	0	452631	2239764	66636041	65.50331491324629	quant	Tue Feb 06 14:29:37 2024	Tue Feb 06 14:34:32 2024
trim_JJ1715_143_S28_R1_001	1.10.0	none	vb	[]	1	['ISR']	1001	169.31308173451163	90.2871740436995	False	True	4096	mapping	False	86774	0	191467	False	['range_factorized', 'gzipped']	[553, 826, 1654, 3040, 100228]	8265e19233c976854a2856310b12551f166fa5b44ab1f0d83a36230b7aaa7b75	56cae2b13a92308710cfc67b8db335604415a05589fa87c0efc6a2d267e0c324	fcc6dfb6bc12ab97bc313035978f58983cef3af6cafa51b44825da1f950808a55ba28c92264d85668527279c59ab7f918eb3b87b12231cb85006371a73308b83	1fd7433b70d62d34426b325f47bf64c9d107fc6310408a804f158e82e7a113c17052b70be374d2815fe0d36f049c26c60b4a5ce78e8caede2282d8032fa330c8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	32979020	23098575	0	309550	2010466	46138131	70.04021041255926	quant	Tue Feb 06 14:29:37 2024	Tue Feb 06 14:33:40 2024
trim_JJ1715_144_S50_R1_001	1.10.0	none	vb	[]	1	['ISR']	1001	192.0779717084769	75.5673879184703	False	True	4096	mapping	False	86774	0	181530	False	['range_factorized', 'gzipped']	[553, 826, 1654, 3040, 100228]	8265e19233c976854a2856310b12551f166fa5b44ab1f0d83a36230b7aaa7b75	56cae2b13a92308710cfc67b8db335604415a05589fa87c0efc6a2d267e0c324	fcc6dfb6bc12ab97bc313035978f58983cef3af6cafa51b44825da1f950808a55ba28c92264d85668527279c59ab7f918eb3b87b12231cb85006371a73308b83	1fd7433b70d62d34426b325f47bf64c9d107fc6310408a804f158e82e7a113c17052b70be374d2815fe0d36f049c26c60b4a5ce78e8caede2282d8032fa330c8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	25847345	17984430	0	864836	2975525	50837239	69.57940941322987	quant	Tue Feb 06 14:29:37 2024	Tue Feb 06 14:33:24 2024
trim_JJ1715_152_S39_R1_001	1.10.0	none	vb	[]	1	['ISR']	1001	161.17264438175587	83.56803174692226	False	True	4096	mapping	False	86774	0	198736	False	['range_factorized', 'gzipped']	[553, 826, 1654, 3040, 100228]	8265e19233c976854a2856310b12551f166fa5b44ab1f0d83a36230b7aaa7b75	56cae2b13a92308710cfc67b8db335604415a05589fa87c0efc6a2d267e0c324	fcc6dfb6bc12ab97bc313035978f58983cef3af6cafa51b44825da1f950808a55ba28c92264d85668527279c59ab7f918eb3b87b12231cb85006371a73308b83	1fd7433b70d62d34426b325f47bf64c9d107fc6310408a804f158e82e7a113c17052b70be374d2815fe0d36f049c26c60b4a5ce78e8caede2282d8032fa330c8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	37327682	24693887	0	295578	2032346	43264371	66.15435429395268	quant	Tue Feb 06 14:29:55 2024	Tue Feb 06 14:34:02 2024
trim_JJ1715_153_S36_R1_001	1.10.0	none	vb	[]	1	['ISR']	1001	162.04292210233467	81.18250414282736	False	True	4096	mapping	False	86774	0	179034	False	['range_factorized', 'gzipped']	[553, 826, 1654, 3040, 100228]	8265e19233c976854a2856310b12551f166fa5b44ab1f0d83a36230b7aaa7b75	56cae2b13a92308710cfc67b8db335604415a05589fa87c0efc6a2d267e0c324	fcc6dfb6bc12ab97bc313035978f58983cef3af6cafa51b44825da1f950808a55ba28c92264d85668527279c59ab7f918eb3b87b12231cb85006371a73308b83	1fd7433b70d62d34426b325f47bf64c9d107fc6310408a804f158e82e7a113c17052b70be374d2815fe0d36f049c26c60b4a5ce78e8caede2282d8032fa330c8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	31815954	22264159	0	238403	1673982	35802765	69.97797080043553	quant	Tue Feb 06 14:30:13 2024	Tue Feb 06 14:33:44 2024
trim_JJ1715_155_S37_R1_001	1.10.0	none	vb	[]	1	['ISR']	1001	171.89751394194403	86.26850425301998	False	True	4096	mapping	False	86774	0	211933	False	['range_factorized', 'gzipped']	[553, 826, 1654, 3040, 100228]	8265e19233c976854a2856310b12551f166fa5b44ab1f0d83a36230b7aaa7b75	56cae2b13a92308710cfc67b8db335604415a05589fa87c0efc6a2d267e0c324	fcc6dfb6bc12ab97bc313035978f58983cef3af6cafa51b44825da1f950808a55ba28c92264d85668527279c59ab7f918eb3b87b12231cb85006371a73308b83	1fd7433b70d62d34426b325f47bf64c9d107fc6310408a804f158e82e7a113c17052b70be374d2815fe0d36f049c26c60b4a5ce78e8caede2282d8032fa330c8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	46306386	33228467	0	322932	2545435	56210108	71.75784998639281	quant	Tue Feb 06 14:30:13 2024	Tue Feb 06 14:34:54 2024
trim_JJ1715_158_S46_R1_001	1.10.0	none	vb	[]	1	['ISR']	1001	175.646866035334	91.18666688914024	False	True	4096	mapping	False	86774	0	248635	False	['range_factorized', 'gzipped']	[553, 826, 1654, 3040, 100228]	8265e19233c976854a2856310b12551f166fa5b44ab1f0d83a36230b7aaa7b75	56cae2b13a92308710cfc67b8db335604415a05589fa87c0efc6a2d267e0c324	fcc6dfb6bc12ab97bc313035978f58983cef3af6cafa51b44825da1f950808a55ba28c92264d85668527279c59ab7f918eb3b87b12231cb85006371a73308b83	1fd7433b70d62d34426b325f47bf64c9d107fc6310408a804f158e82e7a113c17052b70be374d2815fe0d36f049c26c60b4a5ce78e8caede2282d8032fa330c8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	35818361	24242798	0	260947	2218885	48779590	67.68259999389699	quant	Tue Feb 06 14:30:12 2024	Tue Feb 06 14:34:16 2024
trim_JJ1715_159_S29_R1_001	1.10.0	none	vb	[]	1	['ISR']	1001	164.65734219941308	86.33016973506032	False	True	4096	mapping	False	86774	0	188957	False	['range_factorized', 'gzipped']	[553, 826, 1654, 3040, 100228]	8265e19233c976854a2856310b12551f166fa5b44ab1f0d83a36230b7aaa7b75	56cae2b13a92308710cfc67b8db335604415a05589fa87c0efc6a2d267e0c324	fcc6dfb6bc12ab97bc313035978f58983cef3af6cafa51b44825da1f950808a55ba28c92264d85668527279c59ab7f918eb3b87b12231cb85006371a73308b83	1fd7433b70d62d34426b325f47bf64c9d107fc6310408a804f158e82e7a113c17052b70be374d2815fe0d36f049c26c60b4a5ce78e8caede2282d8032fa330c8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	28991419	20231950	0	247025	1627121	43681540	69.78599426264716	quant	Tue Feb 06 14:30:32 2024	Tue Feb 06 14:34:02 2024
trim_JJ1715_15_S31_R1_001	1.10.0	none	vb	[]	1	['ISR']	1001	206.52134376443564	89.46042964974845	False	True	4096	mapping	False	86774	0	337293	False	['range_factorized', 'gzipped']	[553, 826, 1654, 3040, 100228]	8265e19233c976854a2856310b12551f166fa5b44ab1f0d83a36230b7aaa7b75	56cae2b13a92308710cfc67b8db335604415a05589fa87c0efc6a2d267e0c324	fcc6dfb6bc12ab97bc313035978f58983cef3af6cafa51b44825da1f950808a55ba28c92264d85668527279c59ab7f918eb3b87b12231cb85006371a73308b83	1fd7433b70d62d34426b325f47bf64c9d107fc6310408a804f158e82e7a113c17052b70be374d2815fe0d36f049c26c60b4a5ce78e8caede2282d8032fa330c8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	39757641	27771101	0	246858	2561199	46884885	69.85097782838776	quant	Tue Feb 06 14:30:31 2024	Tue Feb 06 14:34:57 2024
trim_JJ1715_160_S48_R1_001	1.10.0	none	vb	[]	1	['ISR']	1001	191.30207828612708	96.35748856861441	False	True	4096	mapping	False	86774	0	240935	False	['range_factorized', 'gzipped']	[553, 826, 1654, 3040, 100228]	8265e19233c976854a2856310b12551f166fa5b44ab1f0d83a36230b7aaa7b75	56cae2b13a92308710cfc67b8db335604415a05589fa87c0efc6a2d267e0c324	fcc6dfb6bc12ab97bc313035978f58983cef3af6cafa51b44825da1f950808a55ba28c92264d85668527279c59ab7f918eb3b87b12231cb85006371a73308b83	1fd7433b70d62d34426b325f47bf64c9d107fc6310408a804f158e82e7a113c17052b70be374d2815fe0d36f049c26c60b4a5ce78e8caede2282d8032fa330c8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	29723058	21232031	0	191476	1789555	29744060	71.43286198883035	quant	Tue Feb 06 14:30:32 2024	Tue Feb 06 14:34:11 2024
trim_JJ1715_16_S24_R1_001	1.10.0	none	vb	[]	1	['ISR']	1001	140.19677849347588	85.31728723119072	False	True	4096	mapping	False	86774	0	201335	False	['range_factorized', 'gzipped']	[553, 826, 1654, 3040, 100228]	8265e19233c976854a2856310b12551f166fa5b44ab1f0d83a36230b7aaa7b75	56cae2b13a92308710cfc67b8db335604415a05589fa87c0efc6a2d267e0c324	fcc6dfb6bc12ab97bc313035978f58983cef3af6cafa51b44825da1f950808a55ba28c92264d85668527279c59ab7f918eb3b87b12231cb85006371a73308b83	1fd7433b70d62d34426b325f47bf64c9d107fc6310408a804f158e82e7a113c17052b70be374d2815fe0d36f049c26c60b4a5ce78e8caede2282d8032fa330c8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	36885771	24958029	0	280327	1825677	43336147	67.66302648248833	quant	Tue Feb 06 14:30:32 2024	Tue Feb 06 14:34:07 2024
trim_JJ1715_17_S35_R1_001	1.10.0	none	vb	[]	1	['ISR']	1001	164.76059655935012	83.64016402048486	False	True	4096	mapping	False	86774	0	196114	False	['range_factorized', 'gzipped']	[553, 826, 1654, 3040, 100228]	8265e19233c976854a2856310b12551f166fa5b44ab1f0d83a36230b7aaa7b75	56cae2b13a92308710cfc67b8db335604415a05589fa87c0efc6a2d267e0c324	fcc6dfb6bc12ab97bc313035978f58983cef3af6cafa51b44825da1f950808a55ba28c92264d85668527279c59ab7f918eb3b87b12231cb85006371a73308b83	1fd7433b70d62d34426b325f47bf64c9d107fc6310408a804f158e82e7a113c17052b70be374d2815fe0d36f049c26c60b4a5ce78e8caede2282d8032fa330c8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	43691196	28739384	0	387843	2713948	56490172	65.77843279913876	quant	Tue Feb 06 14:30:51 2024	Tue Feb 06 14:35:24 2024
trim_JJ1715_183_S58_R1_001	1.10.0	none	vb	[]	1	['ISR']	1001	206.5864920503883	101.64888071063142	False	True	4096	mapping	False	86774	0	264524	False	['range_factorized', 'gzipped']	[553, 826, 1654, 3040, 100228]	8265e19233c976854a2856310b12551f166fa5b44ab1f0d83a36230b7aaa7b75	56cae2b13a92308710cfc67b8db335604415a05589fa87c0efc6a2d267e0c324	fcc6dfb6bc12ab97bc313035978f58983cef3af6cafa51b44825da1f950808a55ba28c92264d85668527279c59ab7f918eb3b87b12231cb85006371a73308b83	1fd7433b70d62d34426b325f47bf64c9d107fc6310408a804f158e82e7a113c17052b70be374d2815fe0d36f049c26c60b4a5ce78e8caede2282d8032fa330c8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	29529206	21015604	0	144102	1802356	30712798	71.16887599348252	quant	Tue Feb 06 14:13:50 2024	Tue Feb 06 14:17:35 2024
trim_JJ1715_184_S57_R1_001	1.10.0	none	vb	[]	1	['ISR']	1001	200.8417145239276	96.8559603600237	False	True	4096	mapping	False	86774	0	265169	False	['range_factorized', 'gzipped']	[553, 826, 1654, 3040, 100228]	8265e19233c976854a2856310b12551f166fa5b44ab1f0d83a36230b7aaa7b75	56cae2b13a92308710cfc67b8db335604415a05589fa87c0efc6a2d267e0c324	fcc6dfb6bc12ab97bc313035978f58983cef3af6cafa51b44825da1f950808a55ba28c92264d85668527279c59ab7f918eb3b87b12231cb85006371a73308b83	1fd7433b70d62d34426b325f47bf64c9d107fc6310408a804f158e82e7a113c17052b70be374d2815fe0d36f049c26c60b4a5ce78e8caede2282d8032fa330c8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	23061802	17714218	0	103725	1280078	16504839	76.81194210235608	quant	Tue Feb 06 14:13:51 2024	Tue Feb 06 14:16:32 2024
