Sample	0	2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150	152	154	156	158	160	162	164	166	168	170	172	174	176	178	180	182	184	186	188	190	192	194	196	198	200	202	204	206	208	210	212	214	216	218	220	222	224	226	228	230	232	234	236	238	240	242	244	246	248	251	253	255	257	259	261	263	265	267	269	271	273	275	277	279	281	283	285	287	289	291	293	295	297	299	301	303	305	307	309	311	313	315	317	319	321	323	325	327	329	331	333	335	337	339	341	343	345	347	349	351	353	355	357	359	361	363	365	367	369	371	373	375	377	379	381	383	385	387	389	391	393	395	397	399	401	403	405	407	409	411	413	415	417	419	421	423	425	427	429	431	433	435	437	439	441	443	445	447	449	451	453	455	457	459	461	463	465	467	469	471	473	475	477	479	481	483	485	487	489	491	493	495	497	499	501	503	505	507	509	511	513	515	517	519	521	523	525	527	529	531	533	535	537	539	541	543	545	547	549	551	553	555	557	559	561	563	565	567	569	571	573	575	577	579	581	583	585	587	589	591	593	595	597	599	601	603	605	607	609	611	613	615	617	619	621	623	625	627	629	631	633	635	637	639	641	643	645	647	649	651	653	655	657	659	661	663	665	667	669	671	673	675	677	679	681	683	685	687	689	691	693	695	697	699	701	703	705	707	709	711	713	715	717	719	721	723	725	727	729	731	733	735	737	739	741	743	745	747	749	752	754	756	758	760	762	764	766	768	770	772	774	776	778	780	782	784	786	788	790	792	794	796	798	800	802	804	806	808	810	812	814	816	818	820	822	824	826	828	830	832	834	836	838	840	842	844	846	848	850	852	854	856	858	860	862	864	866	868	870	872	874	876	878	880	882	884	886	888	890	892	894	896	898	900	902	904	906	908	910	912	914	916	918	920	922	924	926	928	930	932	934	936	938	940	942	944	946	948	950	952	954	956	958	960	962	964	966	968	970	972	974	976	978	980	982	984	986	988	990	992	994	996	998	1000
trim_JJ1715_101_S25_R1_001	1.0353e-42	2.29651e-42	5.06161e-42	1.10849e-41	2.41209e-41	5.21526e-41	1.12042e-40	2.39169e-40	5.07284e-40	1.0691e-39	2.23875e-39	4.65816e-39	9.6304e-39	1.97831e-38	4.038e-38	8.18952e-38	5.93676e-07	5.9687e-05	0.000687902	0.00106912	0.00118205	0.00135765	0.00145154	0.00153298	0.00163957	0.00179422	0.00195137	0.00211187	0.00222145	0.00231939	0.0024769	0.00257455	0.00281819	0.00295234	0.00309754	0.0031685	0.00339033	0.00356103	0.00366235	0.00385636	0.00401313	0.00417797	0.00436078	0.00454735	0.00484304	0.00487983	0.00499323	0.00512836	0.00526695	0.00550392	0.00564756	0.00572287	0.00588666	0.00599077	0.00608566	0.00615311	0.00604514	0.00613605	0.00632301	0.00633906	0.00631379	0.00639869	0.00637157	0.00635902	0.0063721	0.0063537	0.0062716	0.00628735	0.00632108	0.00621076	0.00614823	0.00615267	0.00598366	0.00591113	0.00595143	0.00593962	0.00571847	0.00563678	0.00561406	0.00551258	0.00536912	0.00529656	0.00516387	0.00509772	0.00503742	0.00496591	0.0048848	0.00477588	0.00469648	0.00452209	0.00443647	0.0043187	0.0041693	0.00409075	0.00395245	0.00381749	0.00369817	0.00371727	0.0036459	0.00356251	0.0035005	0.00336989	0.00330775	0.00318195	0.00313486	0.00303327	0.00294718	0.00285693	0.00281325	0.00271969	0.00262621	0.00263056	0.00256839	0.00245977	0.0023503	0.00229981	0.00229141	0.0022419	0.00220171	0.00212507	0.00204698	0.0019966	0.00194425	0.00193102	0.0018549	0.00176492	0.00172743	0.00171325	0.00163276	0.00157805	0.00156841	0.00151833	0.00141313	0.00140473	0.00140027	0.00137081	0.00128173	0.00129074	0.00128389	0.00121032	0.00119585	0.00113174	0.00111584	0.00110793	0.00106953	0.000992883	0.000938614	0.000927773	0.000912245	0.000892526	0.000883717	0.000872472	0.000852597	0.000814154	0.000775916	0.000771657	0.00075736	0.000722097	0.00070866	0.000674138	0.000677977	0.000672836	0.000623613	0.000651137	0.000586191	0.00056723	0.000594674	0.0005106	0.000493511	0.000499797	0.000523047	0.000518851	0.000506345	0.000476014	0.000490212	0.000496695	0.000455846	0.000403733	0.000418402	0.000391934	0.00039341	0.0003881	0.000403652	0.000348426	0.000346501	0.00034747	0.000343025	0.000318044	0.000304459	0.000285094	0.000273567	0.000298781	0.000288302	0.000280927	0.000243825	0.000224913	0.00024302	0.000246768	0.000243197	0.000234941	0.000231702	0.000239602	0.000215444	0.00020339	0.000203324	0.0001988	0.00020574	0.000206917	0.000190186	0.000184423	0.000182878	0.000156099	0.000154617	0.00015028	0.000140965	0.000161531	0.000153825	0.000148194	0.000136742	0.000127606	0.000130081	0.000132952	0.000112878	0.000109529	0.000113992	0.000103459	0.000101982	0.000101416	0.000101055	9.33915e-05	8.70576e-05	8.72069e-05	9.10061e-05	9.19291e-05	8.76875e-05	8.41373e-05	6.32081e-05	7.28871e-05	8.44849e-05	9.36726e-05	7.32005e-05	6.44792e-05	6.39645e-05	6.28293e-05	5.97123e-05	6.01215e-05	5.74749e-05	5.2307e-05	4.94548e-05	5.02697e-05	5.23447e-05	4.92068e-05	4.25655e-05	4.84789e-05	4.61652e-05	4.30975e-05	4.1807e-05	4.09485e-05	3.9828e-05	3.49983e-05	3.93126e-05	4.31829e-05	3.21533e-05	2.86128e-05	3.3276e-05	3.13262e-05	2.97915e-05	2.7668e-05	2.83101e-05	2.4545e-05	2.38136e-05	2.51277e-05	2.36176e-05	2.5649e-05	3.05479e-05	2.22128e-05	2.39213e-05	2.33825e-05	2.20094e-05	2.44493e-05	2.17404e-05	2.68374e-05	2.23162e-05	2.00869e-05	2.3042e-05	2.28393e-05	1.80235e-05	2.17311e-05	1.30419e-05	1.14296e-05	1.72962e-05	1.32157e-05	1.17828e-05	7.74392e-06	1.03774e-05	1.27031e-05	1.21406e-05	9.71376e-06	1.11419e-05	6.90728e-06	9.35997e-06	6.37926e-06	7.6699e-06	1.29361e-05	1.07432e-05	8.11377e-06	5.16454e-06	8.50163e-06	6.21847e-06	1.13847e-05	1.6747e-05	8.63803e-06	6.50965e-06	7.5027e-06	7.30644e-06	7.39636e-06	7.90626e-06	4.62365e-06	4.65622e-06	5.49645e-06	3.03551e-06	4.34305e-06	4.13313e-06	5.08194e-06	2.64461e-06	2.41817e-06	2.00625e-06	2.03708e-06	2.62402e-06	2.85168e-06	2.02239e-06	1.54286e-06	2.04404e-06	1.69539e-06	3.03573e-06	1.81101e-06	1.35835e-06	2.16183e-06	2.88634e-06	3.00243e-06	1.83084e-06	2.28207e-06	1.42753e-06	6.85302e-07	9.15614e-07	1.46639e-06	3.06646e-06	1.55192e-06	5.37067e-07	4.14899e-06	2.02426e-06	2.10317e-06	1.61885e-06	2.51157e-06	2.0825e-06	1.57505e-06	7.5583e-07	2.56332e-06	1.81902e-06	2.99686e-07	5.65392e-07	1.4031e-06	1.04909e-06	2.02602e-07	1.42339e-07	7.35528e-07	2.00481e-06	2.47858e-06	1.54067e-06	8.71104e-07	2.36091e-06	1.12983e-06	1.61961e-06	1.44478e-06	7.11001e-08	1.87058e-06	2.22078e-06	2.51728e-07	1.60681e-07	7.88814e-07	5.48228e-07	2.95997e-07	2.314e-06	1.60795e-06	4.64784e-07	1.61073e-06	1.81015e-06	8.28124e-08	6.44875e-08	2.11605e-07	2.29122e-07	1.96771e-07	1.5387e-09	8.41009e-13	1.00904e-06	1.02358e-06	4.64963e-08	1.91713e-07	5.60196e-08	2.45791e-08	1.25631e-09	7.6506e-07	1.8721e-06	2.73376e-07	8.81583e-07	6.48773e-07	2.09922e-13	7.73449e-10	4.63784e-09	7.72961e-10	1.25312e-29	1.06343e-07	1.51346e-07	2.4412e-08	3.29819e-08	5.25836e-09	4.63548e-08	4.74306e-08	1.48471e-09	7.83197e-08	2.28178e-07	5.58506e-08	1.52326e-07	1.39956e-07	6.61076e-07	1.15324e-07	5.53162e-09	9.42893e-08	5.14498e-07	4.81785e-07	7.15211e-08	2.9549e-09	4.73613e-09	1.11422e-07	9.54008e-08	3.9411e-07	4.28911e-07	3.6333e-08	1.64379e-10	5.82737e-07	5.92018e-07	2.87058e-08	1.12226e-07	1.64024e-07	7.87099e-07	9.15621e-07	5.47808e-08	1.07445e-14	1.80119e-10	4.83731e-08	2.89158e-07	4.83394e-08	8.78248e-10	4.72182e-07	4.72036e-07	5.62025e-15	3.37215e-14	5.62025e-15	1.25312e-29	1.25312e-29	7.7835e-16	7.7835e-16	1.27054e-08	7.64451e-08	1.39818e-08	2.46038e-09	2.28351e-09	1.00252e-07	1.00346e-07	5.03381e-09	2.90987e-08	8.05759e-09	1.25312e-29	1.25312e-29	6.94826e-11	1.05345e-10	4.77402e-09	4.73816e-09	1.42992e-07	8.57954e-07	1.42992e-07	1.25312e-29	6.37108e-08	6.37729e-08	2.92642e-10	4.87842e-11	3.71218e-12	3.2413e-12	6.0221e-07	8.0964e-07	2.0743e-07	1.42757e-11	8.56541e-11	1.42757e-11	1.25312e-29	1.25312e-29	1.25312e-29	1.25312e-29	1.11299e-08	1.11307e-08
trim_JJ1715_103_S33_R1_001	1.07689e-42	2.38876e-42	5.26493e-42	1.15301e-41	2.50898e-41	5.42475e-41	1.16543e-40	2.48777e-40	5.27662e-40	1.11205e-39	2.32868e-39	4.84528e-39	1.00172e-38	2.05778e-38	4.2002e-38	8.51848e-38	2.77596e-07	5.78002e-05	0.000648035	0.00101264	0.00114589	0.00131568	0.00146182	0.00154644	0.00167118	0.00180038	0.00198943	0.00212598	0.0022498	0.00234797	0.00246907	0.00261164	0.00269828	0.00283644	0.00297804	0.00311319	0.00322198	0.00323413	0.00344346	0.00358961	0.00378239	0.00397149	0.0040701	0.00422751	0.00433147	0.00446948	0.00465871	0.00476645	0.00495586	0.00507948	0.00511326	0.00516749	0.00526457	0.00540342	0.00548679	0.00560665	0.00575564	0.00581686	0.00574852	0.00580736	0.00591256	0.00601546	0.00601288	0.00596951	0.0059887	0.00601941	0.00588282	0.00589933	0.00594405	0.00592962	0.00599169	0.00587829	0.00579836	0.00577837	0.00571225	0.00565516	0.005568	0.00563152	0.00550497	0.00536566	0.00529568	0.00520536	0.00520173	0.00506554	0.00498498	0.00493303	0.00490513	0.00477459	0.00463288	0.00460706	0.00450333	0.00442462	0.00429437	0.00413876	0.00406437	0.00393981	0.00389898	0.00375919	0.00366046	0.00367231	0.0035221	0.00346455	0.00340156	0.00338591	0.00325743	0.00308606	0.00308131	0.00300727	0.00292755	0.00289678	0.00281846	0.00276736	0.00267674	0.00259213	0.00255063	0.00249241	0.00237083	0.00233865	0.00230499	0.0022778	0.00223456	0.00212594	0.00211837	0.00205362	0.00198676	0.001911	0.00181973	0.00180277	0.00178732	0.00173432	0.00166378	0.00160516	0.00158134	0.00152571	0.00150759	0.00143422	0.00142101	0.00145438	0.0014039	0.0013407	0.00135583	0.00125097	0.00126203	0.00124687	0.00121813	0.00114406	0.00110989	0.00110126	0.0010833	0.0010458	0.00102774	0.00100708	0.000970553	0.00091749	0.000899482	0.000920061	0.000887637	0.000822143	0.000793027	0.000808038	0.000787455	0.000761907	0.000762072	0.000737741	0.000701162	0.000688257	0.000670974	0.000645249	0.000648044	0.00062716	0.000630437	0.00059356	0.0005685	0.000565871	0.00054822	0.000556337	0.000526971	0.000523644	0.000519954	0.000481122	0.000448035	0.000442784	0.000470399	0.000440707	0.000449671	0.00042395	0.000408221	0.000393075	0.000373702	0.000357807	0.000360544	0.000365881	0.000351776	0.000352969	0.000346007	0.00033682	0.000352127	0.000325837	0.000292299	0.000292339	0.000272949	0.000260068	0.000270856	0.000254115	0.000247289	0.000242838	0.000235298	0.000235542	0.000249501	0.000248818	0.00023081	0.000222536	0.000218206	0.000219514	0.000210213	0.000202655	0.000193299	0.000183571	0.000179429	0.000170352	0.0001647	0.000156858	0.000160175	0.000169533	0.000174383	0.000173792	0.000152401	0.000139976	0.000138152	0.000123318	0.000134385	0.000141054	0.000126445	0.000123515	0.000121904	0.000105522	0.000109858	0.000109569	0.000116446	0.000107646	0.000102368	8.69869e-05	8.54853e-05	9.43e-05	8.82483e-05	8.74268e-05	8.95293e-05	7.19028e-05	8.38493e-05	8.35014e-05	7.64368e-05	7.39698e-05	6.86288e-05	7.37641e-05	6.79819e-05	6.88253e-05	6.4643e-05	7.42404e-05	7.14488e-05	6.61482e-05	5.38269e-05	4.86891e-05	4.60998e-05	4.59714e-05	5.37036e-05	6.32585e-05	5.69566e-05	4.54292e-05	4.60351e-05	3.99231e-05	4.12609e-05	3.8454e-05	2.64572e-05	3.09368e-05	3.29731e-05	3.93249e-05	3.79121e-05	3.57453e-05	3.29175e-05	2.37817e-05	2.58454e-05	2.83004e-05	2.49572e-05	2.47045e-05	2.28055e-05	2.41289e-05	2.85862e-05	2.90529e-05	2.73245e-05	2.45529e-05	2.75619e-05	3.06658e-05	2.64296e-05	2.23431e-05	1.90268e-05	1.85829e-05	1.94047e-05	2.17938e-05	1.90356e-05	1.67536e-05	1.39937e-05	2.02272e-05	2.80626e-05	2.17054e-05	1.68132e-05	1.13456e-05	1.2235e-05	1.32876e-05	1.34089e-05	2.07411e-05	1.64886e-05	1.12093e-05	1.06012e-05	1.65348e-05	1.31593e-05	1.46387e-05	1.63098e-05	1.29704e-05	1.41395e-05	9.71599e-06	9.57701e-06	9.18194e-06	7.88563e-06	9.02225e-06	8.0346e-06	6.7363e-06	9.10663e-06	8.74849e-06	7.91803e-06	7.93249e-06	8.09342e-06	3.65294e-06	5.02044e-06	7.14556e-06	6.05354e-06	5.72085e-06	4.00394e-06	4.80103e-06	4.24716e-06	2.96212e-06	2.00237e-06	2.25657e-06	3.19628e-06	5.42383e-06	4.14969e-06	6.58542e-06	5.37904e-06	6.34225e-06	7.62912e-06	2.84008e-06	3.34515e-06	4.29325e-06	1.70896e-06	1.32667e-06	1.5752e-06	1.43776e-06	1.06247e-06	1.00804e-06	3.07597e-06	2.94837e-06	1.5886e-06	2.22729e-06	1.51648e-06	3.05157e-06	5.69689e-06	3.20315e-06	3.37825e-06	1.28904e-06	2.77137e-06	1.77792e-06	1.24388e-06	1.64496e-06	1.86648e-06	2.13722e-06	1.01601e-06	1.50787e-06	8.48066e-07	1.14641e-06	7.75049e-07	7.79431e-07	8.27263e-07	6.01254e-07	1.49651e-06	9.41865e-07	5.99516e-07	2.37008e-07	3.76942e-07	2.0477e-06	1.19161e-06	2.23555e-06	2.80062e-06	1.02529e-06	7.11855e-08	1.91214e-07	5.66739e-07	9.53768e-08	6.38963e-08	4.48547e-07	6.3228e-07	1.49795e-06	4.17886e-07	1.32472e-06	1.8438e-06	2.47525e-06	1.20702e-06	1.39181e-06	1.29839e-06	6.05065e-07	1.64131e-07	1.48943e-07	8.85342e-07	5.63097e-07	7.95628e-07	5.77496e-07	5.82828e-07	1.12326e-06	1.71396e-06	1.08492e-06	1.15274e-07	2.9789e-07	2.18807e-06	1.14443e-06	9.20388e-07	4.89456e-07	6.9699e-08	8.50125e-08	4.13787e-07	4.37885e-07	5.94412e-08	3.96628e-14	2.1538e-10	1.83353e-08	1.91963e-07	2.30407e-07	1.34034e-08	4.73046e-10	1.24945e-07	7.49671e-07	1.26866e-07	1.15241e-08	1.92068e-09	3.20903e-10	3.2244e-10	8.04324e-10	1.65536e-07	1.70847e-07	5.14113e-08	8.43917e-09	7.1625e-08	3.95897e-07	6.39419e-07	9.91244e-08	1.29224e-08	1.26759e-08	1.48217e-08	1.91691e-08	5.7119e-07	5.67934e-07	2.46067e-08	5.14012e-08	3.56115e-07	5.47816e-07	2.185e-07	1.48684e-07	9.01689e-07	1.71258e-07	3.58408e-07	3.58967e-07	1.35157e-07	5.32724e-07	8.01495e-08	3.83327e-10	3.83327e-10	6.11246e-17	4.89124e-07	4.89138e-07	1.05848e-08	1.07396e-08	2.9808e-08	2.95832e-08	5.04144e-14	3.98465e-12	1.2426e-11	1.56277e-08	1.5626e-08	3.24372e-07	1.94535e-06	3.25499e-07	8.3603e-09	2.01448e-09	3.50046e-11	1.30345e-29	8.95585e-10	8.95585e-10	1.30345e-29	1.30345e-29	2.29892e-11	1.00367e-07	1.66875e-07	3.99189e-07
trim_JJ1715_109_S51_R1_001	1.29117e-42	2.86406e-42	6.31252e-42	1.38243e-41	3.0082e-41	6.50414e-41	1.39731e-40	2.98276e-40	6.32651e-40	1.33331e-39	2.79202e-39	5.80935e-39	1.20104e-38	2.46722e-38	5.03592e-38	1.02134e-37	4.08636e-10	5.52978e-05	0.000670531	0.0010923	0.00121281	0.00133021	0.00145134	0.00155184	0.00165742	0.00174726	0.00178756	0.00187703	0.00200448	0.00212353	0.00215481	0.0022749	0.00234525	0.00247111	0.00266355	0.00273622	0.00276078	0.00281563	0.00293365	0.00299022	0.00319007	0.00333911	0.0033392	0.00342193	0.00361158	0.00363205	0.0037341	0.00389359	0.00401187	0.00403744	0.00412291	0.00421197	0.00429656	0.00445108	0.00451464	0.00459567	0.00461759	0.0045649	0.00462009	0.00471307	0.00478775	0.00487216	0.00487487	0.0049489	0.00493476	0.00487919	0.00488875	0.00492193	0.00499706	0.005054	0.00503356	0.00498489	0.00500304	0.00500234	0.00497875	0.00496958	0.00493728	0.00489112	0.00493364	0.00481197	0.00476015	0.00470224	0.00471451	0.00473747	0.00464785	0.00460243	0.00456041	0.00445243	0.00445041	0.00448931	0.00436796	0.00429734	0.00423612	0.00419235	0.00415669	0.00403947	0.00400127	0.00392619	0.00389025	0.00386782	0.00377401	0.00368053	0.00362791	0.0036206	0.00355969	0.00345769	0.00337997	0.00341608	0.00327792	0.00318127	0.00311203	0.00310895	0.00305076	0.00303085	0.00297185	0.00297675	0.00286401	0.00283579	0.00276789	0.00272282	0.00261413	0.00251773	0.00256303	0.00252895	0.00241676	0.00239939	0.00235287	0.00234468	0.00222694	0.00215068	0.00216232	0.0021069	0.00204487	0.00197141	0.00199094	0.00197017	0.00188764	0.00186623	0.00185662	0.00184086	0.00178358	0.00173578	0.00169004	0.00165802	0.00164281	0.00159294	0.00150571	0.00147798	0.00147427	0.00145818	0.00143864	0.00141583	0.00138107	0.00137107	0.0013074	0.00128827	0.00128849	0.00123654	0.00118399	0.00119402	0.00113493	0.00110853	0.00110962	0.00106926	0.00107294	0.00104275	0.000993587	0.000970259	0.000974846	0.000959975	0.000978557	0.000915598	0.000872676	0.000894608	0.000886239	0.000871704	0.000805125	0.000800886	0.00076325	0.00075515	0.00074376	0.000752331	0.000742888	0.000688873	0.000664213	0.000639727	0.00064723	0.000652296	0.000629661	0.000623038	0.000597595	0.00056279	0.000567894	0.000561083	0.000529622	0.000526821	0.000518049	0.000497256	0.000484932	0.000463312	0.000428561	0.000458409	0.000483327	0.000464752	0.000439896	0.000417701	0.00044267	0.000424098	0.000409589	0.000397376	0.000366078	0.000345566	0.000333629	0.000345038	0.000340214	0.000320012	0.000296889	0.000312503	0.000317934	0.000297704	0.000288205	0.000257815	0.000280763	0.000296569	0.000278879	0.000269884	0.000252869	0.000242897	0.000216597	0.000210006	0.00021668	0.000214725	0.000207902	0.000216166	0.000208954	0.000197005	0.000186725	0.00018675	0.000177621	0.000181867	0.000168949	0.000162742	0.000180173	0.000173932	0.000155129	0.000150407	0.000150845	0.000142296	0.000155799	0.000153793	0.000135813	0.000135934	0.000118852	0.000128768	0.000126955	0.000130184	0.000114062	0.000117977	0.000126343	0.000117958	0.000109011	0.00010593	0.000107815	9.93668e-05	0.000110699	9.39869e-05	9.48238e-05	7.98619e-05	7.54125e-05	8.67531e-05	7.19693e-05	6.41657e-05	7.81398e-05	7.57339e-05	6.30845e-05	7.44895e-05	7.58557e-05	6.50807e-05	6.755e-05	7.1066e-05	6.43746e-05	4.90249e-05	4.88578e-05	4.86297e-05	5.7246e-05	5.21458e-05	5.61459e-05	5.87178e-05	4.79061e-05	4.78552e-05	4.84051e-05	5.11715e-05	4.89917e-05	4.87506e-05	4.18475e-05	3.97785e-05	5.15499e-05	4.44505e-05	3.64903e-05	3.5304e-05	3.48412e-05	3.33802e-05	3.45314e-05	3.7101e-05	3.54596e-05	2.94242e-05	2.5753e-05	2.92644e-05	2.25814e-05	2.32957e-05	3.11939e-05	2.72491e-05	2.51309e-05	2.10709e-05	2.15009e-05	2.38386e-05	2.26739e-05	2.02453e-05	3.37649e-05	3.40191e-05	2.21083e-05	2.05097e-05	2.23721e-05	1.65977e-05	2.1247e-05	1.86755e-05	1.99297e-05	1.78272e-05	1.31071e-05	1.29614e-05	1.60691e-05	1.52469e-05	1.29721e-05	1.74068e-05	1.75763e-05	1.4562e-05	1.17722e-05	9.48336e-06	1.12349e-05	1.02312e-05	1.16617e-05	8.81685e-06	1.23926e-05	1.29365e-05	8.14535e-06	6.07334e-06	4.01816e-06	1.14207e-05	9.44537e-06	6.03272e-06	5.96105e-06	5.81473e-06	5.02515e-06	4.98336e-06	3.4433e-06	6.3343e-06	8.18663e-06	6.66254e-06	8.04228e-06	5.22788e-06	6.27741e-06	6.58562e-06	4.65311e-06	3.43062e-06	1.83644e-06	3.13063e-06	5.2488e-06	4.96021e-06	3.75372e-06	9.31358e-07	4.59993e-06	3.84501e-06	3.0548e-06	4.26335e-06	3.19043e-06	1.34548e-06	3.4433e-06	3.1884e-06	3.81846e-06	4.54428e-06	4.0723e-06	4.31051e-06	3.39625e-06	1.73865e-06	5.87025e-07	2.484e-06	4.75659e-06	2.60135e-06	2.7653e-06	2.29886e-06	2.847e-07	2.73248e-07	1.51018e-06	1.74643e-06	1.3785e-06	2.68771e-06	3.87504e-06	1.72695e-06	1.64688e-06	8.52189e-07	3.62926e-07	1.3781e-06	7.30373e-07	1.47808e-07	2.5781e-07	3.97546e-07	8.25657e-07	5.08372e-07	5.6055e-07	5.27927e-07	9.07224e-07	1.0958e-06	8.01125e-07	1.00872e-06	2.27935e-06	1.07823e-06	1.77522e-06	1.98893e-06	4.83689e-07	2.30785e-09	3.54411e-08	1.12523e-07	1.70959e-06	1.78915e-06	5.84331e-07	4.66438e-07	3.25645e-07	1.08584e-08	4.33238e-07	5.42656e-07	1.39975e-06	1.07301e-06	1.5074e-06	7.76785e-07	9.56231e-08	4.7048e-07	1.14623e-06	9.9434e-07	4.36751e-07	3.9401e-07	7.95172e-07	5.1777e-07	1.20466e-07	5.45246e-07	1.41436e-07	2.94362e-07	1.00945e-07	7.70091e-07	1.37986e-06	1.23738e-07	4.68052e-07	1.07593e-06	4.25536e-07	7.35707e-07	1.55312e-06	1.28365e-06	1.57146e-07	1.55436e-07	1.2144e-06	4.48567e-07	6.01934e-08	6.29565e-08	3.17307e-08	3.83752e-08	4.85995e-09	8.26208e-09	1.37185e-09	8.84273e-08	8.84273e-08	4.33676e-14	1.28738e-08	1.50112e-07	8.23428e-07	1.3724e-07	1.59273e-12	6.90514e-10	5.16212e-08	6.83149e-08	2.36222e-07	1.49643e-07	1.06223e-10	3.15874e-11	2.38005e-12	3.18835e-08	5.78752e-08	2.59888e-08	9.37964e-11	1.67557e-07	1.67571e-07	3.78442e-09	2.21474e-08	1.36165e-08	5.91747e-08	9.87373e-09	2.446e-08	2.93517e-07	8.45469e-07	1.58249e-07	4.89317e-08	3.87118e-08
