Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
trim_JJ1715_497_S19_R1_001	73.28603314282492	27438924
trim_JJ1715_498_S82_R1_001	68.37579648361215	21328601
trim_JJ1715_499_S96_R1_001	64.83564922988114	25509227
trim_JJ1715_500_S18_R1_001	66.83528382807779	26240815
trim_JJ1715_50_S14_R1_001	68.37219325602929	25372216
trim_JJ1715_51_S13_R1_001	71.29249102788258	20143123
trim_JJ1715_52_S47_R1_001	73.36143273412756	22228553
trim_JJ1715_57_S79_R1_001	71.68989166459197	18984730
trim_JJ1715_58_S78_R1_001	74.90513744079321	20333243
trim_JJ1715_602_S12_R1_001	58.0277785252793	16582412
trim_JJ1715_603_S9_R1_001	71.77586716098514	19576089
trim_JJ1715_615_S10_R1_001	74.07357679125327	22696578
trim_JJ1715_616_S11_R1_001	66.78775119321247	18483983
trim_JJ1715_619_S8_R1_001	70.76376731831459	22936771
trim_JJ1715_620_S7_R1_001	74.35850220544158	24394483
trim_JJ1715_621_S6_R1_001	71.25596896137189	24595048
trim_JJ1715_622_S5_R1_001	71.90380929034784	23242961
trim_JJ1715_623_S4_R1_001	73.76297757916143	24568634
trim_JJ1715_62_S80_R1_001	71.60714185748725	20338318
trim_JJ1715_692_S26_R1_001	71.36371194571261	28269856
trim_JJ1715_693_S53_R1_001	74.08791789284514	20569345
trim_JJ1715_694_S52_R1_001	69.94161120496128	20266596
trim_JJ1715_695_S1_R1_001	72.60498793363479	21183937
trim_JJ1715_697_S3_R1_001	73.39214834911395	22344117
trim_JJ1715_700_S2_R1_001	70.9846884403537	20395704
trim_JJ1715_75_S27_R1_001	72.31513688279286	20299308
trim_JJ1715_80_S14_R1_001	71.44444536576651	23349833
trim_JJ1715_81_S15_R1_001	71.09127425403308	24370140
trim_JJ1715_82_S54_R1_001	74.785499552067	24429966
trim_JJ1715_88_S26_R1_001	70.67843391547055	37353206
trim_JJ1715_89_S47_R1_001	67.75350170826447	20205702
trim_JJ1715_90_S43_R1_001	70.02422984632986	21507083
trim_JJ1715_91_S44_R1_001	67.13143910366453	20479529
trim_JJ1715_AE0_S58_R1_001	76.47559527336362	28602099
trim_JJ1715_AE1_S57_R1_001	63.30288774674967	24040218
trim_JJ1715_AE2_S56_R1_001	75.44263379694219	21977807
trim_JJ1715_BE3_S55_R1_001	77.89425045824007	27036648
trim_JJ1715_BE4_S54_R1_001	73.96001314027635	26598028
trim_JJ1715_CE5_S53_R1_001	73.65825529643911	22734538
trim_JJ1715_CE6_S52_R1_001	72.42737005357907	22271333
trim_JJ1715_DE9_S66_R1_001	39.87304394436384	13296013
trim_JJ1715_EE10_S64_R1_001	69.80833808090773	21893032
trim_JJ1715_EE24_S63_R1_001	67.26527373541924	23195383
trim_JJ1715_FE25_S62_R1_001	66.12254623589095	23937302
trim_JJ1715_FE6_S61_R1_001	72.50424438830994	25770048
trim_JJ1715_GC30_S83_R1_001	67.47549039874669	21134887
trim_JJ1715_GC34_S82_R1_001	62.660577479072366	30262065
trim_JJ1715_GC35_S81_R1_001	59.05293391909551	22255529
trim_JJ1715_GE27_S74_R1_001	72.26992839254672	24965753
trim_JJ1715_GE28_S73_R1_001	73.58127341155041	25804581
trim_JJ1715_GE29_S72_R1_001	64.9160920167223	24908039
trim_JJ1715_HE36_S80_R1_001	70.84605259801232	25382864
trim_JJ1715_HE37_S65_R1_001	50.1905311778291	16925271
trim_JJ1715_HE8_S67_R1_001	75.50825762780875	30414292
trim_JJ1715_IC46_S85_R1_001	63.729775525806254	22033902
trim_JJ1715_IC47_S77_R1_001	71.57144999830562	28850347
trim_JJ1715_IC48_S79_R1_001	72.58184855459163	23676289
trim_JJ1715_IE38_S60_R1_001	72.37702515899932	27359316
trim_JJ1715_IE39_S59_R1_001	73.89064743655256	27314965
trim_JJ1715_IE40_S75_R1_001	74.81973076429358	19834659
trim_JJ1715_JC49_S78_R1_001	77.08508903417624	25711299
trim_JJ1715_JC56_S92_R1_001	68.76109971722838	17156254
trim_JJ1715_KC57_S71_R1_001	52.97464115540639	17969207
trim_JJ1715_KC58_S70_R1_001	75.43744895063027	24232086
trim_JJ1715_LC59_S84_R1_001	77.99610038088922	25738827
trim_JJ1715_LC60_S69_R1_001	72.07997705092275	25652081
trim_JJ1715_M137_S45_R1_001	66.59091392034327	22093024
trim_JJ1715_M194_S38_R1_001	65.82429566002074	22148950
trim_JJ1715_MC68_S76_R1_001	74.8585455870132	24455807
trim_JJ1715_MC69_S89_R1_001	77.46018412814895	22212824
trim_JJ1715_MC70_S88_R1_001	73.19768398306257	25611164
trim_JJ1715_NC78_S91_R1_001	71.32987946880057	21153629
trim_JJ1715_NC79_S93_R1_001	77.51892209021271	22965414
trim_JJ1715_NC80_S90_R1_001	71.504055293039	19009800
trim_JJ1715_OC89_S86_R1_001	72.80778461243005	26568411
trim_JJ1715_OC90_S87_R1_001	72.99947161165944	26473254
