Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
trim_JJ1715_101_S25_R1_001	71.56657264838981	20731749
trim_JJ1715_103_S33_R1_001	71.77459678351585	23749665
trim_JJ1715_109_S51_R1_001	72.95076991653953	20935161
trim_JJ1715_110_S34_R1_001	69.76290792885531	25702474
trim_JJ1715_114_S17_R1_001	70.10765856228484	26016957
trim_JJ1715_116_S51_R1_001	68.41126456330203	21968319
trim_JJ1715_119_S49_R1_001	68.0979139065511	21667779
trim_JJ1715_123_S77_R1_001	58.90632842310689	14955799
trim_JJ1715_125_S50_R1_001	76.08424072401695	20866014
trim_JJ1715_129_S76_R1_001	73.57767659955205	20885916
trim_JJ1715_135_S16_R1_001	52.588330693912155	16502875
trim_JJ1715_138_S48_R1_001	74.10228387139406	20140279
trim_JJ1715_142_S30_R1_001	65.50331491324629	28255787
trim_JJ1715_143_S28_R1_001	70.04021041255926	23098575
trim_JJ1715_144_S50_R1_001	69.57940941322987	17984430
trim_JJ1715_152_S39_R1_001	66.15435429395268	24693887
trim_JJ1715_153_S36_R1_001	69.97797080043553	22264159
trim_JJ1715_155_S37_R1_001	71.75784998639281	33228467
trim_JJ1715_158_S46_R1_001	67.68259999389699	24242798
trim_JJ1715_159_S29_R1_001	69.78599426264716	20231950
trim_JJ1715_15_S31_R1_001	69.85097782838776	27771101
trim_JJ1715_160_S48_R1_001	71.43286198883035	21232031
trim_JJ1715_16_S24_R1_001	67.66302648248833	24958029
trim_JJ1715_17_S35_R1_001	65.77843279913876	28739384
trim_JJ1715_183_S58_R1_001	71.16887599348252	21015604
trim_JJ1715_184_S57_R1_001	76.81194210235608	17714218
trim_JJ1715_185_S56_R1_001	67.05799956441926	20189107
trim_JJ1715_18_S32_R1_001	71.00314942537345	24838277
trim_JJ1715_191_S40_R1_001	70.29100960566844	30457635
trim_JJ1715_192_S42_R1_001	70.22237562846028	16043782
trim_JJ1715_193_S49_R1_001	57.670814315748885	19433520
trim_JJ1715_194_S59_R1_001	75.99514150011647	22741138
trim_JJ1715_195_S55_R1_001	68.55095190956389	21741502
trim_JJ1715_197_S41_R1_001	72.58032928675038	24404415
trim_JJ1715_211_S60_R1_001	75.45214502230634	20494999
trim_JJ1715_223_S67_R1_001	70.5997249078682	26408286
trim_JJ1715_224_S64_R1_001	66.9019885457636	20674005
trim_JJ1715_226_S1_R1_001	64.55115465577502	24800959
trim_JJ1715_227_S95_R1_001	70.40568519301644	28029948
trim_JJ1715_228_S85_R1_001	65.15738226508174	20430466
trim_JJ1715_229_S5_R1_001	64.59342061596557	22363786
trim_JJ1715_230_S93_R1_001	64.1687556425262	18482904
trim_JJ1715_232_S87_R1_001	66.91351089392808	16568789
trim_JJ1715_235_S10_R1_001	66.00686371041452	23776937
trim_JJ1715_236_S4_R1_001	52.67555997355928	18678201
trim_JJ1715_237_S2_R1_001	52.3850168776791	17854170
trim_JJ1715_238_S94_R1_001	67.817753749414	19709789
trim_JJ1715_240_S62_R1_001	74.27299652166155	21695299
trim_JJ1715_241_S65_R1_001	72.51308675274133	24186400
trim_JJ1715_242_S61_R1_001	70.17139946218077	24252237
trim_JJ1715_244_S75_R1_001	68.38551650658441	21556356
trim_JJ1715_247_S70_R1_001	72.71287561429229	26646532
trim_JJ1715_248_S73_R1_001	68.9160793303639	21370819
trim_JJ1715_252_S74_R1_001	72.71849028284119	22844473
trim_JJ1715_253_S63_R1_001	63.86318847503731	16104902
trim_JJ1715_264_S86_R1_001	69.24080906738337	21238367
trim_JJ1715_26_S89_R1_001	50.76779251166321	15202087
trim_JJ1715_276_S88_R1_001	62.92739654914649	14525631
trim_JJ1715_282_S66_R1_001	71.43878030216906	23282395
trim_JJ1715_284_S71_R1_001	72.71431037679751	22630877
trim_JJ1715_286_S72_R1_001	59.5671423662265	16602598
trim_JJ1715_299_S84_R1_001	70.35393309063835	20957807
trim_JJ1715_305_S92_R1_001	63.69120364728666	25155402
trim_JJ1715_343_S33_R1_001	73.23838588372786	26367967
trim_JJ1715_346_S83_R1_001	71.72768904453996	23566110
trim_JJ1715_348_S11_R1_001	71.15878127642804	25076040
trim_JJ1715_349_S19_R1_001	74.39433285389964	24993436
trim_JJ1715_350_S22_R1_001	66.23211813089253	22384616
trim_JJ1715_352_S3_R1_001	54.18092177960339	17789040
trim_JJ1715_353_S91_R1_001	71.77928959521086	28377767
trim_JJ1715_363_S69_R1_001	70.8606223388631	23645953
trim_JJ1715_364_S68_R1_001	73.03866897938119	22197485
trim_JJ1715_366_S40_R1_001	72.72935968132123	23748368
trim_JJ1715_367_S41_R1_001	75.65537226419569	21219725
trim_JJ1715_369_S6_R1_001	66.05616528805675	20790820
trim_JJ1715_371_S90_R1_001	64.84543944411664	25703220
trim_JJ1715_373_S13_R1_001	63.005300040148384	22486659
trim_JJ1715_375_S8_R1_001	72.7330296339202	27931581
trim_JJ1715_379_S16_R1_001	71.543714925204	28278162
trim_JJ1715_380_S9_R1_001	61.249703473983054	23359083
trim_JJ1715_381_S12_R1_001	62.780060354989686	19923610
trim_JJ1715_384_S15_R1_001	58.37629663208802	17400127
trim_JJ1715_385_S23_R1_001	66.35285551370022	26191813
trim_JJ1715_389_S17_R1_001	58.46270462190412	19591838
trim_JJ1715_390_S7_R1_001	60.4173137120828	17484309
trim_JJ1715_392_S42_R1_001	75.61045324835017	21770635
trim_JJ1715_393_S43_R1_001	73.5463744838728	22649657
trim_JJ1715_394_S44_R1_001	74.1835196169141	24015663
trim_JJ1715_396_S45_R1_001	62.66990075444259	18592987
trim_JJ1715_397_S20_R1_001	71.62795384562381	27650890
trim_JJ1715_429_S21_R1_001	70.02430450979945	29569551
trim_JJ1715_439_S18_R1_001	74.02802324086136	27897465
trim_JJ1715_440_S24_R1_001	74.7856071357418	29463074
trim_JJ1715_441_S23_R1_001	72.31888311610182	21205246
trim_JJ1715_442_S22_R1_001	74.03314976425813	22072532
trim_JJ1715_443_S25_R1_001	74.07805191243767	25486876
trim_JJ1715_445_S21_R1_001	72.53363042488226	23187984
trim_JJ1715_446_S32_R1_001	52.17862145427442	19179574
trim_JJ1715_447_S31_R1_001	72.84685895814566	25688009
trim_JJ1715_448_S30_R1_001	74.6909832323338	27533494
trim_JJ1715_451_S81_R1_001	63.83321038655838	17215603
trim_JJ1715_453_S27_R1_001	72.04782478742527	29704535
trim_JJ1715_457_S29_R1_001	71.1414299446711	26001149
trim_JJ1715_458_S28_R1_001	68.3899342198736	24808926
trim_JJ1715_459_S20_R1_001	76.17632624873556	22969891
trim_JJ1715_486_S35_R1_001	71.24285835890042	24195932
trim_JJ1715_487_S34_R1_001	72.83629370907563	26200228
trim_JJ1715_488_S37_R1_001	73.5430899056555	26197910
trim_JJ1715_489_S38_R1_001	73.48744574722782	26608546
trim_JJ1715_490_S39_R1_001	72.33319617131129	23500735
trim_JJ1715_492_S36_R1_001	73.6202666306155	27925108
trim_JJ1715_494_S46_R1_001	75.80992114525273	22534236
